keyword,period,count
레티놀,2023-09-11,0
레티놀,2023-09-18,0
레티놀,2023-09-25,2
레티놀,2023-10-02,0
레티놀,2023-10-09,0
레티놀,2023-10-16,2
레티놀,2023-10-23,0
레티놀,2023-10-30,15
레티놀,2023-11-06,0
레티놀,2023-11-13,0
레티놀,2023-11-20,0
레티놀,2023-11-27,0
레티놀,2023-12-04,5
레티놀,2023-12-11,0
레티놀,2023-12-18,0
레티놀,2023-12-25,0
레티놀,2024-01-01,0
레티놀,2024-01-08,1
레티놀,2024-01-15,0
레티놀,2024-01-22,0
레티놀,2024-01-29,0
레티놀,2024-02-05,0
레티놀,2024-02-12,0
레티놀,2024-02-19,0
레티놀,2024-02-26,0
레티놀,2024-03-04,0
레티놀,2024-03-11,1
레티놀,2024-03-18,2
레티놀,2024-03-25,0
레티놀,2024-04-01,0
레티놀,2024-04-08,2
레티놀,2024-04-15,0
레티놀,2024-04-22,3
레티놀,2024-04-29,7
레티놀,2024-05-06,2
레티놀,2024-05-13,0
레티놀,2024-05-20,0
레티놀,2024-05-27,1
레티놀,2024-06-03,0
레티놀,2024-06-10,0
레티놀,2024-06-17,0
레티놀,2024-06-24,0
레티놀,2024-07-01,0
레티놀,2024-07-08,2
레티놀,2024-07-15,1
레티놀,2024-07-22,0
레티놀,2024-07-29,0
레티놀,2024-08-05,0
레티놀,2024-08-12,0
레티놀,2024-08-19,0
레티놀,2024-08-26,0
레티놀,2024-09-02,0
레티놀,2024-09-09,1
레티놀,2024-09-16,0
레티놀,2024-09-23,0
레티놀,2024-09-30,0
레티놀,2024-10-07,0
레티놀,2024-10-14,0
레티놀,2024-10-21,1
레티놀,2024-10-28,8
레티놀,2024-11-04,1
레티놀,2024-11-11,0
레티놀,2024-11-18,0
레티놀,2024-11-25,0
레티놀,2024-12-02,0
레티놀,2024-12-09,0
레티놀,2024-12-16,0
레티놀,2024-12-23,0
레티놀,2024-12-30,1
레티놀,2025-01-06,1
레티놀,2025-01-13,0
레티놀,2025-01-20,0
레티놀,2025-01-27,0
레티놀,2025-02-03,3
레티놀,2025-02-10,1
레티놀,2025-02-17,0
레티놀,2025-02-24,0
레티놀,2025-03-03,1
레티놀,2025-03-10,0
레티놀,2025-03-17,0
레티놀,2025-03-24,3
레티놀,2025-03-31,0
레티놀,2025-04-07,0
레티놀,2025-04-14,4
레티놀,2025-04-21,0
레티놀,2025-04-28,0
레티놀,2025-05-05,1
레티놀,2025-05-12,1
레티놀,2025-05-19,1
레티놀,2025-05-26,0
레티놀,2025-06-02,1
레티놀,2025-06-09,1
레티놀,2025-06-16,0
레티놀,2025-06-23,0
레티놀,2025-06-30,0
레티놀,2025-07-07,1
레티놀,2025-07-14,8
레티놀,2025-07-21,2
레티놀,2025-07-28,7
레티놀,2025-08-04,4
레티놀,2025-08-11,0
레티놀,2025-08-18,0
레티놀,2025-08-25,0
레티놀,2025-09-01,1
레티놀,2025-09-08,6
레티놀,2025-09-15,2
레티놀,2025-09-22,0
레티놀,2025-09-29,2
레티놀,2025-10-06,0
레티놀,2025-10-13,0
레티놀,2025-10-20,1
레티놀,2025-10-27,6
레티놀,2025-11-03,0
레티놀,2025-11-10,0
레티놀,2025-11-17,1
레티놀,2025-11-24,0
레티놀,2025-12-01,1
레티놀,2025-12-08,6
레티놀,2025-12-15,2
레티놀,2025-12-22,1
레티놀,2025-12-29,1
레티놀,2026-01-05,1
레티놀,2026-01-12,0
레티놀,2026-01-19,0
레티놀,2026-01-26,0
레티놀,2026-02-02,0
레티놀,2026-02-09,1
레티놀,2026-02-16,1
레티놀,2026-02-23,0
레티놀,2026-03-02,2
레티놀,2026-03-09,1
레티놀,2026-03-16,1
레티놀,2026-03-23,2
레티놀,2026-03-30,0
레티놀,2026-04-06,0
레티놀,2026-04-13,0
레티놀,2026-04-20,0
레티놀,2026-04-27,1
레티놀,2026-05-04,1
레티놀,2026-05-11,1
레티놀,2026-05-18,0
레티놀,2026-05-25,0
레티놀,2026-06-01,0
레티놀,2026-06-08,0
레티놀,2026-06-15,0
레티놀,2026-06-22,0
레티날,2023-07-03,0
레티날,2023-07-10,0
레티날,2023-07-17,0
레티날,2023-07-24,0
레티날,2023-07-31,0
레티날,2023-08-07,0
레티날,2023-08-14,0
레티날,2023-08-21,0
레티날,2023-08-28,0
레티날,2023-09-04,0
레티날,2023-09-11,0
레티날,2023-09-18,0
레티날,2023-09-25,0
레티날,2023-10-02,0
