category,period,ratio
클렌징,2024-05-06,66.77315
클렌징,2024-05-13,67.12726
클렌징,2024-05-20,65.68015
클렌징,2024-05-27,67.70986
클렌징,2024-06-03,64.25682
클렌징,2024-06-10,58.22023
클렌징,2024-06-17,53.99073
클렌징,2024-06-24,59.49329
클렌징,2024-07-01,74.51601
클렌징,2024-07-08,66.57988
클렌징,2024-07-15,66.98961
클렌징,2024-07-22,64.64571
클렌징,2024-07-29,63.06594
클렌징,2024-08-05,66.67439
클렌징,2024-08-12,68.61649
클렌징,2024-08-19,72.66226
클렌징,2024-08-26,73.71857
클렌징,2024-09-02,69.03033
클렌징,2024-09-09,57.55105
클렌징,2024-09-16,64.16085
클렌징,2024-09-23,67.46435
클렌징,2024-09-30,66.14535
클렌징,2024-10-07,63.41961
클렌징,2024-10-14,66.86194
클렌징,2024-10-21,56.96918
클렌징,2024-10-28,56.59218
클렌징,2024-11-04,57.62457
클렌징,2024-11-11,56.74172
클렌징,2024-11-18,62.51445
클렌징,2024-11-25,61.19546
클렌징,2024-12-02,55.55788
클렌징,2024-12-09,52.703
클렌징,2024-12-16,49.8892
클렌징,2024-12-23,45.84255
클렌징,2024-12-30,48.62876
클렌징,2025-01-06,53.03113
클렌징,2025-01-13,54.1256
클렌징,2025-01-20,47.63364
클렌징,2025-01-27,52.67056
클렌징,2025-02-03,56.24864
클렌징,2025-02-10,53.7122
클렌징,2025-02-17,52.24748
클렌징,2025-02-24,54.60679
클렌징,2025-03-03,52.53819
클렌징,2025-03-10,48.95205
클렌징,2025-03-17,53.67272
클렌징,2025-03-24,49.66878
클렌징,2025-03-31,59.97669
클렌징,2025-04-07,66.93179
클렌징,2025-04-14,67.46582
클렌징,2025-04-21,58.86902
클렌징,2025-04-28,58.44828
클렌징,2025-05-05,63.96552
클렌징,2025-05-12,55.41128
클렌징,2025-05-19,47.9449
클렌징,2025-05-26,46.25008
클렌징,2025-06-02,49.65572
클렌징,2025-06-09,48.66266
클렌징,2025-06-16,47.55601
클렌징,2025-06-23,46.29909
클렌징,2025-06-30,46.84691
클렌징,2025-07-07,46.95081
클렌징,2025-07-14,45.43972
클렌징,2025-07-21,45.85561
클렌징,2025-07-28,42.92295
클렌징,2025-08-04,36.42644
클렌징,2025-08-11,34.35168
클렌징,2025-08-18,34.77902
클렌징,2025-08-25,34.2629
클렌징,2025-09-01,34.53277
클렌징,2025-09-08,29.7892
클렌징,2025-09-15,29.08583
클렌징,2025-09-22,27.25526
클렌징,2025-09-29,22.79272
클렌징,2025-10-06,27.6597
클렌징,2025-10-13,27.06125
클렌징,2025-10-20,24.85236
클렌징,2025-10-27,23.89907
클렌징,2025-11-03,24.60802
클렌징,2025-11-10,23.28419
클렌징,2025-11-17,22.94123
클렌징,2025-11-24,22.4232
클렌징,2025-12-01,24.56576
클렌징,2025-12-08,23.19511
클렌징,2025-12-15,22.79903
클렌징,2025-12-22,22.11502
클렌징,2025-12-29,23.84199
클렌징,2026-01-05,25.70293
클렌징,2026-01-12,25.36467
클렌징,2026-01-19,23.35595
클렌징,2026-01-26,25.38067
클렌징,2026-02-02,25.45448
클렌징,2026-02-09,22.29465
클렌징,2026-02-16,23.86062
클렌징,2026-02-23,24.22999
클렌징,2026-03-02,23.99813
클렌징,2026-03-09,23.33173
클렌징,2026-03-16,23.03853
클렌징,2026-03-23,23.76582
클렌징,2026-03-30,24.24981
클렌징,2026-04-06,24.28958
클렌징,2026-04-13,23.4597
클렌징,2026-04-20,26.22771
클렌징,2026-04-27,22.00452
클렌징,2026-05-04,22.54941
클렌징,2026-05-11,22.53605
클렌징,2026-05-18,21.75372
클렌징,2026-05-25,22.68809
클렌징,2026-06-01,23.24427
클렌징,2026-06-08,22.10299
클렌징,2026-06-15,21.50175
클렌징,2026-06-22,21.242
클렌징,2026-06-29,25.71086
메이크업베이스,2023-07-03,93.76611
메이크업베이스,2023-07-10,88.16649
메이크업베이스,2023-07-17,88.63002
메이크업베이스,2023-07-24,82.99257
메이크업베이스,2023-07-31,86.64823
메이크업베이스,2023-08-07,89.9705
메이크업베이스,2023-08-14,91.74606
메이크업베이스,2023-08-21,91.11104
메이크업베이스,2023-08-28,100.0
메이크업베이스,2023-09-04,99.63911
메이크업베이스,2023-09-11,92.55139
